cluster	gene	Check
1	AMICA1	0
1	IFNG	1
1	S100A4	0
1	GZMA	1
1	LGALS1	0
1	FOS	0
1	KLRG1	0
1	LRRN3	0
1	FARSA	0
1	TIMM10	0
1	HNRNPF	0
1	PPA1	0
1	SLC25A5	0
1	TXN2	0
1	TESPA1	0
1	TMEM203	0
1	CXCR4	0
1	ATIC	0
1	PITHD1	0
1	CCR7	1
1	H2AFZ	0
1	MTX2	0
1	IMPDH2	0
1	MRPS35	0
1	NCK1	0
1	FLOT1	0
1	PAFAH1B3	0
1	SLC25A11	0
1	NOP58	0
1	SRM	0
1	OXLD1	0
1	ECHS1	0
1	C12orf10	0
1	HMCES	0
1	PEF1	0
1	UQCRC2	0
1	ANP32B	0
1	PEBP1	0
1	FAIM3	0
1	MRPL14	0
1	OSTC	0
1	SELL	1
1	ICOS	0
2	CSF2	0
2	HLA-DMA	0
2	HLA-DPB1	0
2	HLA-DRA	1
2	NMB	0
2	RGS2	0
2	NCR3	0
2	ARID5A	0
2	PDCD1	1
2	HLA-DPA1	0
2	APOBEC3G	0
2	HLA-DRB6	1
2	STARD3NL	0
2	HLA-DRB5	1
2	HLA-DRB1	1
2	DUSP2	0
2	COPB2	0
2	CST7	0
2	TOX	0
2	TRGJP1	0
2	CD74	0
2	CXCR4	0
2	TNFRSF18	0
2	NCF4	0
2	SIRPG	0
2	FAIM3	0
2	NDUFV1	0
3	CTSL	0
3	LRRN3	0
3	KLRG1	0
3	DGKA	0
3	CCR7	1
3	RP11-421L21.3	0
3	S1PR1	0
3	FLOT1	0
3	SELL	1
3	FOS	0
3	PDCD4	0
3	AMZ2	0
3	ASAH1	0
3	DUSP1	0
3	PARL	0
3	APEX1	0
3	PTTG1	0
3	C12orf75	0
3	CD74	0
3	HMGB2	0
3	ANXA5	0
3	CST7	0
3	CTLA4	1
3	NCF4	0
3	GBP5	0
3	BST2	0
3	TNFRSF18	0
3	HLA-DPA1	0
3	HLA-DRB5	1
3	ALOX5AP	0
3	LGALS3	0
3	HLA-DRB1	1
3	TMEM216	0
3	CXCR3	0
