symbol	psymbol	NM	ENSG
A1BG	A1BG	NM_130786	ENSG00000121410
A1CF	A1CF	NM_014576	ENSG00000148584
A2M	A2M	NM_000014	ENSG00000175899
A2ML1	CPAMD9	NM_144670	ENSG00000166535
A3GALT2	A3GALT2P	NM_001080438	ENSG00000184389
A4GALT	P1	NM_017436	ENSG00000128274
A4GNT	A4GNT	NM_016161	ENSG00000118017
AACS	AACS	NM_023928	ENSG00000081760
AADAC	AADAC	NM_001086	ENSG00000114771
AADACL2	AADACL2	NM_207365	ENSG00000197953
AADACL3	AADACL3	NM_001103170	ENSG00000188984
AADACL4	AADACL4	NM_001013630	ENSG00000204518
AADAT	AADAT	NM_016228	ENSG00000109576
AAGAB	AAGAB	NM_024666	ENSG00000103591
AAK1	AAK1	NM_014911	ENSG00000115977
AAMDC	C11orf67	NM_024684	ENSG00000087884
AAMP	AAMP	NM_001087	ENSG00000127837
AANAT	AANAT	NM_001088	ENSG00000129673
AAR2	C20orf4	NM_015511	ENSG00000131043
AARD	C8orf85	NM_001025357	ENSG00000205002
AARS	AARS	NM_001605	ENSG00000090861
AARS2	AARSL	NM_020745	ENSG00000124608
AARSD1	AARSD1	NM_001261434	ENSG00000266967
AASDH	AASDH	NM_181806	ENSG00000157426
AASDHPPT	AASDHPPT	NM_015423	ENSG00000149313
AASS	AASS	NM_005763	ENSG00000008311
AATF	AATF	NM_012138	ENSG00000275700
AATK	AATK	NM_004920	ENSG00000181409
ABAT	ABAT	NM_020686	ENSG00000183044
ABCA1	ABC1	NM_005502	ENSG00000165029
ABCA1	HDLDT1	NM_005502	ENSG00000165029
ABCA2	ABC2	NM_001606	ENSG00000107331
ABCA3	ABC3	NM_001089	ENSG00000167972
ABCA4	STGD1	NM_000350	ENSG00000198691
ABCA4	ABCR	NM_000350	ENSG00000198691
ABCA4	RP19	NM_000350	ENSG00000198691
ABCA4	STGD	NM_000350	ENSG00000198691
ABCA5	ABCA5	NM_018672	ENSG00000154265
ABCA6	ABCA6	NM_080284	ENSG00000154262
ABCA7	ABCA7	NM_019112	ENSG00000064687
ABCA8	ABCA8	NM_007168	ENSG00000141338
