ISG	category
IFI44L	commonISG*
IFI27	commonISG*
IFIT3	commonISG*
MX1	commonISG*
RSAD2	commonISG*
IFIT1	commonISG*
ISG15	commonISG*
IFIT2	commonISG*
IFI44	commonISG*
OASL	commonISG*
IFI6	commonISG*
CXCL10	commonISG*
CMPK2	commonISG*
IFITM1	commonISG*
OAS1	commonISG*
MX2	commonISG*
OAS2	commonISG*
ISG20	commonISG*
OAS3	commonISG*
USP18	commonISG*
SAMD9L	commonISG*
HELZ2	commonISG*
DDX60	commonISG*
TRIM22	commonISG*
HERC6	commonISG*
HERC5	commonISG*
IFIH1	commonISG*
IFIT5	commonISG*
XAF1	commonISG*
GBP1	commonISG*
IRF7	commonISG*
DDX58	commonISG*
TNFSF10	commonISG*
PARP9	commonISG*
LY6E	commonISG*
SAMD9	commonISG*
HSH2D	commonISG*
SIGLEC1	commonISG
IFI35	commonISG*
PLSCR1	commonISG*
NEXN	commonISG
EIF2AK2	commonISG*
STAT1	commonISG*
ZBP1	commonISG
DHX58	commonISG*
LGALS3BP	commonISG*
DDX60L	commonISG*
LAMP3	commonISG
SP110	commonISG*
PARP14	commonISG*
PARP12	commonISG*
C19orf66	commonISG*
SERPING1	commonISG*
IRF9	commonISG*
IFITM2	commonISG*
OTOF	commonISG
LAP3	commonISG*
APOL6	commonISG*
NT5C3A	commonISG*
SPATS2L	commonISG*
TRANK1	commonISG*
DTX3L	commonISG*
STAT2	commonISG*
PARP10	commonISG*
LGALS9	commonISG*
BST2	commonISG*
PML	commonISG*
TDRD7	commonISG*
TRIM5	commonISG*
UBE2L6	commonISG*
APOL1	commonISG*
IFI16	commonISG*
TRIM21	commonISG*
TYMP	commonISG*
ZNFX1	commonISG*
PNPT1	commonISG*
PPM1K	commonISG*
TRIM25	commonISG*
MOV10	commonISG*
PSMB9	commonISG*
CHMP5	commonISG*
SP100	commonISG*
BCL2L14	commonISG
CMTR1	commonISG*
PHF11	commonISG*
PSME2	commonISG*
NMI	commonISG*
MYD88	commonISG*
GTPBP1	commonISG*
CHST12	commonISG*
ODF3B	commonISG*
WARS	commonISG*
TRIM14	commonISG*
RBCK1	commonISG*
NAPA	commonISG*
SLC25A28	commonISG*
ADAR	commonISG*
SHISA5	commonISG*
GTPBP2	commonISG*
NUB1	commonISG*
TRIM26	commonISG*
OGFR	commonISG*
C1GALT1	commonISG*
N4BP1	commonISG*
RNF31	ISG_in_CD4T_and_MDM
CD164	ISG_in_CD4T_and_monocyte
ELOVL3	MDM_specificISG
TOR1B	Myeloid_specificISG
NCOA7	Myeloid_specificISG
BATF2	Myeloid_specificISG
STAP1	Myeloid_specificISG
TAP1	Myeloid_specificISG
GBP5	Myeloid_specificISG
HESX1	Myeloid_specificISG
ZC3HAV1	Myeloid_specificISG
AIM2	Myeloid_specificISG
APOBEC3G	Myeloid_specificISG
DYNLT1	Myeloid_specificISG
XRN1	Myeloid_specificISG
GCH1	Myeloid_specificISG
RTCB	Myeloid_specificISG
USP25	Myeloid_specificISG
STX17	Myeloid_specificISG
ENPP2	Myeloid_specificISG
RNF213	Myeloid_specificISG
IL4I1	Myeloid_specificISG
MASTL	Myeloid_specificISG
EXOSC9	Myeloid_specificISG
CACNA1A	Myeloid_specificISG
PATL1	Myeloid_specificISG
ADPRHL2	Myeloid_specificISG
CCL8	Myeloid_specificISG
TAGAP	Myeloid_specificISG
BATF3	Myeloid_specificISG
GBP2	Myeloid_specificISG
SERPINB9	Myeloid_specificISG
GMPR	Myeloid_specificISG
CD80	Myeloid_specificISG
TCF4	Myeloid_specificISG
HES4	Myeloid_specificISG
CXCL11	Myeloid_specificISG
SSB	Myeloid_specificISG
RGL1	Myeloid_specificISG
FPR2	Myeloid_specificISG
CXCL9	Myeloid_specificISG
BLVRA	Myeloid_specificISG
SP140L	Myeloid_specificISG
IL6	Myeloid_specificISG
CSRNP1	Myeloid_specificISG
SCLT1	Myeloid_specificISG
FAS	Myeloid_specificISG
HPSE	Myeloid_specificISG
ANKFY1	Myeloid_specificISG
NADK	Myeloid_specificISG
CCL2	Myeloid_specificISG
TMEM255A	Myeloid_specificISG
NBN	Myeloid_specificISG
ASCL2	Myeloid_specificISG
IRF2	Myeloid_specificISG
CASP5	Myeloid_specificISG
CNDP2	Myeloid_specificISG
SLAMF1	Myeloid_specificISG
SIPA1L2	Myeloid_specificISG
PCGF5	Myeloid_specificISG
CD2AP	Myeloid_specificISG
C4orf33	Myeloid_specificISG
TRIM56	Myeloid_specificISG
SLFN12	Myeloid_specificISG
SEPT4	Myeloid_specificISG
TGM1	Myeloid_specificISG
GBP4	Myeloid_specificISG
GPBP1	Myeloid_specificISG
GTF2B	Myeloid_specificISG
RTP4	Myeloid_specificISG
PHACTR4	Myeloid_specificISG
UBFD1	Myeloid_specificISG
CGAS	Myeloid_specificISG
CUL1	Myeloid_specificISG
MORC3	Myeloid_specificISG
SPTLC2	Myeloid_specificISG
MRPL17	Myeloid_specificISG
LNPEP	Myeloid_specificISG
APOBEC3A	Myeloid_specificISG
DNAJA1	Myeloid_specificISG
BMPR2	Myeloid_specificISG
GADD45B	Myeloid_specificISG
IL27	Myeloid_specificISG
PDCD1LG2	Myeloid_specificISG
PSMA3	Myeloid_specificISG
STIMATE	Myeloid_specificISG
RABGAP1L	Myeloid_specificISG
ELK4	Myeloid_specificISG
P2RY6	Myeloid_specificISG
VAMP5	Myeloid_specificISG
FAM122C	Myeloid_specificISG
TUBE1	Myeloid_specificISG
CYSTM1	Myeloid_specificISG
NAMPT	Myeloid_specificISG
PSMA4	Myeloid_specificISG
SAV1	Myeloid_specificISG
SLC12A8	Myeloid_specificISG
CD69	Myeloid_specificISG
RAB8B	Myeloid_specificISG
NOD1	Myeloid_specificISG
CHRNB1	Myeloid_specificISG
MTHFD2	Myeloid_specificISG
PDGFRL	Myeloid_specificISG
PANX1	Myeloid_specificISG
SIAH2	Myeloid_specificISG
VRK2	Myeloid_specificISG
LCP2	Myeloid_specificISG
ACSL1	Myeloid_specificISG
PIK3AP1	Myeloid_specificISG
FAM20A	Myeloid_specificISG
CD40	Myeloid_specificISG
TMEM123	Myeloid_specificISG
STX11	Myeloid_specificISG
UBE2Z	Myeloid_specificISG
IL15RA	Myeloid_specificISG
CCNYL1	Myeloid_specificISG
STAC3	Myeloid_specificISG
NTNG2	Myeloid_specificISG
C15orf48	Myeloid_specificISG
ATF5	Myeloid_specificISG
FGD2	Myeloid_specificISG
SEPT6	Myeloid_specificISG
TNFAIP6	Myeloid_specificISG
MYL12A	Myeloid_specificISG
IL15	Myeloid_specificISG
NUPR1	Myeloid_specificISG
DNPEP	Myeloid_specificISG
ZCCHC10	Myeloid_specificISG
JUP	Myeloid_specificISG
FCRLA	Myeloid_specificISG
GPR180	Myeloid_specificISG
SLC15A4	Myeloid_specificISG
RIC1	Myeloid_specificISG
GRIN3A	Myeloid_specificISG
LGALS9C	Myeloid_specificISG
AEN	Myeloid_specificISG
MT1M	Myeloid_specificISG
EXOC3L1	Myeloid_specificISG
ASPHD2	Myeloid_specificISG
TLR3	Myeloid_specificISG
YME1L1	Myeloid_specificISG
NME7	Myeloid_specificISG
LARP7	Myeloid_specificISG
KIAA1958	Myeloid_specificISG
PMAIP1	Myeloid_specificISG
INTS12	Myeloid_specificISG
WSB1	Myeloid_specificISG
NT5C2	Myeloid_specificISG
PROCR	Myeloid_specificISG
TRADD	Myeloid_specificISG
CMKLR1	Myeloid_specificISG
IGF2BP3	Myeloid_specificISG
COG5	Myeloid_specificISG
NRN1	Myeloid_specificISG
DDO	Myeloid_specificISG
IFT74	Myeloid_specificISG
MOB1A	Myeloid_specificISG
CCR4	Myeloid_specificISG
SDS	Myeloid_specificISG
AXL	Myeloid_specificISG
NCOA2	Myeloid_specificISG
GPR84	Myeloid_specificISG
MRPS18C	Myeloid_specificISG
PLEKHA4	MDM_specificISG
RNF19B	MDM_specificISG
LYSMD2	MDM_specificISG
MCOLN2	MDM_specificISG
CTNNBL1	MDM_specificISG
NCF1	MDM_specificISG
TTC9	MDM_specificISG
YEATS2	MDM_specificISG
LAG3	MDM_specificISG
