sample_Id.short	dir_Id	cell_Id	sequence_Id	sample_Id.ori	cell_state	mouse_Id	sample_type
278F3_GFP+_170418_l5_001	278F3_GFP+_170418_l5	003	001	170418_Hiseq1A_l5_001_N701-N517_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_002	278F3_GFP+_170418_l5	002	002	170418_Hiseq1A_l5_002_N702-N517_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_003	278F3_GFP+_170418_l5	001	003	170418_Hiseq1A_l5_003_N703-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_004	278F3_GFP+_170418_l5	049	004	170418_Hiseq1A_l5_004_N704-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_005	278F3_GFP+_170418_l5	050	005	170418_Hiseq1A_l5_005_N705-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_006	278F3_GFP+_170418_l5	051	006	170418_Hiseq1A_l5_006_N706-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_007	278F3_GFP+_170418_l5	006	007	170418_Hiseq1A_l5_007_N707-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_008	278F3_GFP+_170418_l5	005	008	170418_Hiseq1A_l5_008_N708-N517_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_009	278F3_GFP+_170418_l5	004	009	170418_Hiseq1A_l5_009_N709-N517_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_010	278F3_GFP+_170418_l5	052	010	170418_Hiseq1A_l5_010_N710-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_011	278F3_GFP+_170418_l5	053	011	170418_Hiseq1A_l5_011_N711-N517_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_012	278F3_GFP+_170418_l5	054	012	170418_Hiseq1A_l5_012_N712-N517_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_013	278F3_GFP+_170418_l5	009	013	170418_Hiseq1A_l5_013_N701-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_014	278F3_GFP+_170418_l5	008	014	170418_Hiseq1A_l5_014_N702-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_015	278F3_GFP+_170418_l5	007	015	170418_Hiseq1A_l5_015_N703-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_016	278F3_GFP+_170418_l5	055	016	170418_Hiseq1A_l5_016_N704-N502_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_017	278F3_GFP+_170418_l5	056	017	170418_Hiseq1A_l5_017_N705-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_018	278F3_GFP+_170418_l5	057	018	170418_Hiseq1A_l5_018_N706-N502_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_019	278F3_GFP+_170418_l5	012	019	170418_Hiseq1A_l5_019_N707-N502_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_020	278F3_GFP+_170418_l5	011	020	170418_Hiseq1A_l5_020_N708-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_021	278F3_GFP+_170418_l5	010	021	170418_Hiseq1A_l5_021_N709-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
278F3_GFP+_170418_l5_022	278F3_GFP+_170418_l5	058	022	170418_Hiseq1A_l5_022_N710-N502_Dr_Sato_278F3_GFP+	0	278F3	GFP+
278F3_GFP+_170418_l5_023	278F3_GFP+_170418_l5	059	023	170418_Hiseq1A_l5_023_N711-N502_Dr_Sato_278F3_GFP+	1	278F3	GFP+
